months_video,days_video,months_demo,days_demo6,days_demo18,days_audio,days_CDI,subj
17m 4d,522,18m 1d,186,550,NA,541,794
16m 29d,517,18m 1d,196,550,NA,521,294
17m 2d,520,18m,183,548,521,520,126
16m 29d,516,17m 27d,183,545,517,545,255
17m 7d,525,18m 5d,183,554,529,530,465
17m,518,17m 28d,187,546,524,521,357
17m 12d,530,18m 3d,187,552,522,527,521
17m 12d,520,18m 2d,187,551,523,524,274
17m,518,18m 3d,188,552,519,521,828
16m 29d,517,18m 3d,184,552,523,520,309
17m 6d,524,18m 3d,187,552,528,535,749
17m 4d,522,18m 7d,185,556,525,526,623
17m 4d,522,18m 1d,185,550,523,523,279
17m 6d,524,18m 8d,188,557,529,NA,626
17m,518,18m 8d,189,557,521,540,664
17m 9d,520,18m 1d,182,548,524,524,129
17m 5d,523,18m 4d,187,551,527,530,860
17m 4d,522,18m 5d,184,552,523,524,378
17m,518,18m 1d,183,548,519,519,109
17m 1d,518,17m 29d,183,546,521,545,342
17m 4d,521,18m 5d,182,553,522,524,268
17m,517,17m 26d,185,543,519,NA,172
16m 28d,516,18m 3d,182,551,517,526,189
17m,517,18m 3d,182,551,519,522,986
17m 1d,518,18m,182,547,518,518,861
16m 29d,515,18m 1d,184,548,524,NA,625
17m 1d,518,17m 29d,186,546,520,521,926
17m,517,17m 29d,182,546,521,517,944
17m,517,18m,181,547,521,522,515
17m,517,18m,182,547,521,522,375
17m 3d,520,17m 29d,183,546,521,525,738
17m 2d,519,18m,185,547,525,526,575
17m 3d,520,18m,170,548,521,521,639
17m 5d,522,18m 2d,186,550,526,523,168
17m 3d,520,18m,186,548,521,523,737
17m 4d,521,18m 2d,188,550,526,535,518
17m 1d,518,17m 30d,182,547,519,NA,151
17m 1d,518,18m 6d,182,554,519,NA,893
16m 29d,516,18m 5d,185,553,522,527,424
16m 29d,516,18m 5d,185,553,522,527,351
17m,517,18m,183,547,518,506,950
16m 30d,516,17m 25d,180,541,517,523,563
16m 30d,516,17m 26d,186,543,517,519,288
17m,517,17m 26d,189,543,518,529,220
